,Stammdaten Filialnetz,,,,,,,,,,,,,,,,,,,,,,,,,,,Allgemein,,,,,,,,,,,,,,,,,,Ausstattung,,,,,,,,Reifenservice,,,,,,,,,,,Autoservice,,,,,,,,,,,Autoglas,,,Mobiler Service,,,,Franchise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2B-Verzeichnis,,,
KST,Netz,BU,Status,Netzkennung,Gesellschaft,Straße,PLZ,Ort,Bundesland,Lat.,Long.,Tel. (Vor),Tel. (Ruf),Fax (Vor),Fax (Ruf),Mail,SCL,Tel. SCL,Region,RL,BL,VKL Heavy,VAD Heavy,KAM Heavy,KAM Light,Produktmanager ASEMIND,Focus ID,Öffnungszeiten,Payback,Digital Sales (Check 24 etc.),Repareo,"Virtuelle Bühne Online 
",Slow Mover,Slow Mover Heavy,Hol- und Bringservice,Werkstattersatzwagen,Kapazität Reifeneinlagerung,Freie Reifeneinlagerungsplätze,Kapazitäten Mastercare Vertrag,Kapazität im light Bereich (inkl. SMR),Meister / Altgeselle vorhanden,Fixico,Preisliste,"Repareo
Vorlauf","Repareo
Standort ID",Anzahl Hebebühnen,"Anzahl Hebebühnen > 3,5T",Einfahrthöhe LLKW-Bühne in Meter,Max. Anhebehöhe auf LLKW Bühne in Meter,Anzahl Parkplätze,Lademöglichkeit Elektro vorhanden (juice booser oder Ladesäule),Hof 24/7 zugänglich?,Platz im Schulungsraum ,PKW,LLKW,Wohnmobil,Krad ,LKW,AS,EM,IND,"Kalt-
reparatur","Heiß-
reparatur","Nach-
schneiden",Autoservice,"Hochvolt-
Schulung (höchstes Level angeben)","Hochvolt-
Ausstattung (Messgerät, Absperrmaterial, PSA Hochvolt)",Ma mit Klimasachkunde in der Filiale,"Klimaservice /
Kältemittel",Getriebespülgerät,"Achs-
vermessung",Kalibrierung DAS 3000 / Autel,Bremsenprüfstand,Tüv Prüfstützpunkt,AU-Eigen (AU durch Euromaster) ,Tausch und Reparatur,Austausch Autoglas durch Filiale möglich bzw. V2 bei Franchise,Koordinator,Anzahl Mobilfahrzeuge,Deutsche Post,LKW Vorortmontagen,Breakdown Service,E-Shop,TopM by ERM,CRM,Direktbezug PV (LKQ),Direktbezug WM,"Direktbezug
Michelin","Direktbezug
Goodyear","Direktbezug
Falken","Direktbezug
Pirelli","Direktbezug
Continental","Direktbezug
Nexen","Direktbezug
Kumho","Direktbezug
Vredestein","Direktbezug
Nokian","Direktbezug
Hankook","Direktbezug
Bohnenkamp",adBlue,Auspuff,Batterie,Bremsen,Öl-Service,Stoßdämpfer,UVV,Mastercheck,Service für 7T Fahrzeuge,"Hebebühne vorhanden
(LKW)","Rad- Reifen Service
(LKW)",Autoservice (LKW),"HU / AU
(LKW)","Autoglas
(LKW)","Hol- und Bring Service
(LKW)",W-LAN?,Kostenloser Kaffee?,Kostenlose Getränke?,Teilnahme            Bärenherz Spendenaktion,Teilnahme Sollog Kooperation?,"Betriebssystem?
IOS / Android",Facebook Account vorhanden?,Instagram Account vorhanden?,SDO (Uberall),Eigene Homepage,ERM Visualisiert,Masterstandard Verkauf,Masterstandard Werkstatt,Digitales Serviceheft,Kalibrierung Fahrerassistenzsysteme (FAS),Remote-Diagnose,Universale Diagnosegeräte,Reifenservice,Autoservice,EV / Hochvolt,Autoglas
D_137-01,02 - FRA,Mixed,geöffnet,,Gummi Berger Hans Berger GmbH & Co. KG.,Dieringhauser Straße 159,51645,Gummersbach,Nordrhein-Westfalen,"50,984041",7.517849,(02261),99040,(02261),990429,pb137-01@franchise.euromaster.com,Frank Meyer,,RL_07,"Franzen, Bernd","Blank, Michael",Mion,Legermann,Dünner,Mion,B. Vieregge / Th. Knop / V. Deselears,137K,08:00-17:00-Mittagspause keine-Samstag 8-12 Uhr,nein,ja,ja,nein,nein,nein,ja,ja, , ,ja,Keine Angabe,KFZ - Meister,ja,V_AW5,10,137-01,,,,,,ja,,0,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,Stufe 3,,,,,,,,ja,,ja,nein,Rene Keller,,ja,,ja,nein,ja,ja,ja,ja,ja,nein,nein,nein,nein,,nein,nein,nein,nein,,ja,ja,ja,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,ja,nein,ja,ja,ja,ja,ja,ios,ja,ja,ja,ja,ja,ja,ja,,,,,ja,ja,ja,ja
D_137-02,02 - FRA,Mixed,geöffnet,,Gummi Berger Hans Berger GmbH & Co. KG.,Melessen 5,51491,Overath-Obersteeg,Nordrhein-Westfalen,50.970588,7.260245,(02204),71051,(02204),73605,pb137-02@franchise.euromaster.com,Henning Schmiing,,RL_07,"Franzen, Bernd","Blank, Michael",Mion,Legermann,Dünner,Mion,B. Vieregge / Th. Knop / V. Deselears,137L,08:00-17:00-Mittagspause keine-Samstag 8-12 Uhr,nein,ja,ja,nein,nein,nein,ja,nein, , ,ja,5-8 Fahrzeuge pro Woche,KFZ - Meister,ja,V_AW5,10,137-02,,,,,,nein,,,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,Stufe 1,,,,,,,,ja,,ja,nein,Rene Keller,,ja,,ja,nein,ja,ja,ja,ja,ja,nein,nein,nein,ja,,nein,ja,nein,nein,,ja,ja,ja,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,ja,nein,ja,ja,ja,ja,ja,ios,ja,ja,ja,ja,ja,ja,ja,,,,,ja,ja,ja,ja
D_137-05,02 - FRA,Mixed,geöffnet,,Gummi Berger Hans Berger GmbH & Co. KG.,Marconistraße 19,50769,Köln-Chorweiler,Nordrhein-Westfalen,51.034146,6.927886,(0221),9701179,(0221),9701181,pb137-05@franchise.euromaster.com,Michael Gies,,RL_07,"Franzen, Bernd","Blank, Michael",Mion,Legermann,Dünner,Mion,B. Vieregge / Th. Knop / V. Deselears,137O,08:00-17:00-Mittagspause keine-Samstag 8-12 Uhr,nein,ja,ja,nein,nein,nein,ja,nein, , ,ja,5-8 Fahrzeuge pro Woche,KFZ - Meister,ja,V_AW5,10,137-05,,,,,,nein,,,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,Stufe 3,,,,,,,,ja,,ja,nein,Rene Keller,,ja,,ja,nein,ja,ja,ja,ja,ja,nein,nein,nein,ja,,nein,ja,nein,nein,,ja,ja,ja,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,ja,nein,ja,ja,ja,ja,ja,ios,ja,ja,ja,ja,ja,ja,ja,,,,,ja,ja,ja,ja
D_137-06,02 - FRA,Mixed,geöffnet,,Reifen Albrecht ZwNl. der Gummi Berger Hans Berger GmbH & Co. KG ,Lohdiecksweg 2a,59457,Werl,Nordrhein-Westfalen,51.567193,"7,915261",(02922),9114660,(02922),9114661,pb137-06@franchise.euromaster.com, ,,RL_07,"Franzen, Bernd","Blank, Michael",Mion,Pater,Dünner,Mion,B. Vieregge / Th. Knop / V. Deselears,137P,08:00-17:00-Mittagspause keine-Samstag 8-12 Uhr,nein,ja,ja,nein,nein,nein,ja,nein, , ,ja,5-8 Fahrzeuge pro Woche,KFZ - Meister,ja,V_AW3,10,137-06,,,,,,nein,,,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,Stufe 3,,,,,,,,ja,,ja,nein,Rene Keller,,ja,,ja,nein,ja,ja,ja,ja,ja,nein,nein,nein,ja,,nein,ja,nein,nein,,ja,ja,ja,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,ja,nein,ja,ja,ja,ja,ja,ios,ja,ja,ja,ja,ja,ja,ja,,,,,ja,ja,ja,ja
D_137-07,02 - FRA,Mixed,geöffnet,,BM Reifendienst ZwNl. der Gummi Berger Hans Berger GmbH & Co. KG,Industriestraße 6,51545,Waldbröl,Nordrhein-Westfalen,50.885619,7.639555,(02291),4071,(02291),80618,pb137-07@franchise.euromaster.com,Andre Gerwers,,RL_07,"Franzen, Bernd","Blank, Michael",Mion,Legermann,Dünner,Mion,B. Vieregge / Th. Knop / V. Deselears,137V,08:00-17:00-Mittagspause keine-Samstag 08:00 bis 12:00 Uhr,nein,ja,ja,nein,nein,nein,ja,nein, , ,ja,5-8 Fahrzeuge pro Woche,KFZ - Meister,ja,V_AW5,10,137-07,,,,,,nein,,,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,Stufe 2,,,,,,,,ja,,ja,nein,Rene Keller,,ja,,ja,nein,ja,ja,ja,ja,ja,nein,nein,nein,ja,,nein,ja,nein,nein,,ja,ja,ja,ja,ja,ja,ja,ja,nein,nein,nein,nein,nein,nein,nein,ja,ja,ja,ja,ja,ios,ja,ja,ja,ja,ja,ja,ja,,,,,ja,ja,ja,ja
D_137-08,02 - FRA,Mixed,geöffnet,,Gummi Berger Hans Berger GmbH & Co. KG.,An der Schloßfabrik 29,42499,Hückeswagen,Nordrhein-Westfalen,"51,138652",7.350496,(02192),2666,(02192),6864,pb137-08@franchise.euromaster.com,Luigi Salcuni,,RL_07,"Franzen, Bernd","Blank, Michael",Mion,Warzocha,Dünner,Mion,B. Vieregge / Th. Knop / V. Deselears,137Q,08:00-17:00-Mittagspause keine-Samstag 8-12 Uhr,nein,ja,ja,nein,nein,nein,ja,nein, , ,ja,5-8 Fahrzeuge pro Woche,KFZ - Meister,ja,V_AW4,10,137-08,,,,,,nein,,,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,Stufe 1,,,,,,,,ja,,ja,nein,Rene Keller,,ja,,ja,nein,ja,ja,ja,ja,ja,nein,nein,nein,ja,,nein,ja,nein,nein,,ja,ja,ja,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,ja,nein,ja,ja,ja,ja,ja,ios,ja,ja,ja,ja,ja,ja,ja,,,,,ja,ja,ja,ja
D_137-09,02 - FRA,Mixed,geöffnet,,Gummi Berger Hans Berger GmbH & Co. KG.,Stauweiher 7,51645,Gummersbach,Nordrhein-Westfalen,51.004967,7.609547,(02261),51925,(02261),53334,pb137-09@franchise.euromaster.com,Jan Vankerkom,,RL_07,"Franzen, Bernd","Blank, Michael",Mion,Legermann,Dünner,Mion,B. Vieregge / Th. Knop / V. Deselears,137R,08:00-17:00-Mittagspause keine-Samstag 8-12 Uhr,nein,ja,ja,nein,nein,nein,ja,nein, , ,ja,5-8 Fahrzeuge pro Woche,KFZ - Meister,ja,V_AW5,10,137-09,,,,,,nein,,,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,Stufe 2,,,,,,,,ja,,ja,nein,Rene Keller,,ja,,ja,nein,ja,ja,ja,ja,ja,nein,nein,nein,ja,,nein,ja,nein,nein,,ja,ja,ja,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,ja,nein,ja,ja,ja,ja,ja,ios,ja,ja,ja,ja,ja,ja,ja,,,,,ja,ja,ja,ja
D_137-10,02 - FRA,Mixed,geöffnet,,Gummi Berger Hans Berger GmbH & Co. KG.,Günsestraße 48,57462,Olpe,Nordrhein-Westfalen,"51,024872",7.854943,(02761),62298,(02761),6811,pb137-10@franchise.euromaster.com,Stefan Klever,,RL_07,"Franzen, Bernd","Blank, Michael",Mion,Bulut,Dünner,Mion,B. Vieregge / Th. Knop / V. Deselears,137S,08:00-17:00-Mittagspause keine-Samstag 8-12 Uhr,nein,ja,ja,nein,nein,nein,ja,nein, , ,ja,5-8 Fahrzeuge pro Woche,KFZ - Meister,ja,V_AW4,10,137-10,,,,,,nein,,,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,Stufe 2,,,,,,,,ja,,ja,nein,Rene Keller,,ja,,ja,nein,ja,ja,ja,ja,ja,nein,nein,nein,ja,,nein,ja,nein,nein,,ja,ja,ja,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,ja,nein,ja,ja,ja,ja,ja,ios,ja,ja,ja,ja,ja,ja,ja,ja,,,,ja,ja,ja,ja
